MAROB_ID_1,MAROB_ID_2,messzeit,kennung,geogr_breite,geogr_laenge,Score
9698707,9576821,1,1.0,0.4499999999999993,0.0,0.6124999999999998
9576579,9698707,1,1.0,0.4499999999999993,0.0,0.6124999999999998
10789734,10733552,1,1.0,0.0,0.8999999999999986,0.7249999999999996
10733549,10789734,1,1.0,0.0,0.8999999999999986,0.7249999999999996
8047150,7937076,1,1.0,0.8500000000000014,0.0,0.7125000000000004
7940186,8047150,1,1.0,0.8500000000000014,0.0,0.7125000000000004
7228374,7213183,1,1.0,0.6499999999999986,0.8500000000000014,0.875
7213211,7228374,1,1.0,0.6499999999999986,0.8500000000000014,0.875
7228142,7213183,1,1.0,0.6499999999999986,0.8500000000000014,0.875
7228142,7213211,1,1.0,0.6499999999999986,0.8500000000000014,0.875
7335485,7351169,1,1.0,0.6500000000000004,0.75,0.8500000000000001
7335577,7351169,1,1.0,0.6500000000000004,0.75,0.8500000000000001
7351218,7335485,1,1.0,0.6500000000000004,0.75,0.8500000000000001
7351218,7335577,1,1.0,0.6500000000000004,0.75,0.8500000000000001
7455337,7470866,1,1.0,0.8499999999999996,0.7999999999999972,0.9124999999999992
7455284,7470866,1,1.0,0.8499999999999996,0.7999999999999972,0.9124999999999992
7470947,7455337,1,1.0,0.8499999999999996,0.7999999999999972,0.9124999999999992
7470947,7455284,1,1.0,0.8499999999999996,0.7999999999999972,0.9124999999999992
7694952,7709781,1,1.0,0.6500000000000004,0.7999999999999972,0.8624999999999994
7694847,7709781,1,1.0,0.6500000000000004,0.7999999999999972,0.8624999999999994
7709756,7694952,1,1.0,0.6500000000000004,0.7999999999999972,0.8624999999999994
7709756,7694847,1,1.0,0.6500000000000004,0.7999999999999972,0.8624999999999994
7833747,7819793,1,1.0,0.6000000000000005,0.9499999999999957,0.8874999999999991
7833780,7819793,1,1.0,0.6000000000000005,0.9499999999999957,0.8874999999999991
7819810,7833747,1,1.0,0.6000000000000005,0.9499999999999957,0.8874999999999991
7819810,7833780,1,1.0,0.6000000000000005,0.9499999999999957,0.8874999999999991
8778417,8518549,1,1.0,0.0,0.75,0.6875
8518641,8778417,1,1.0,0.0,0.75,0.6875
8778395,8518549,1,1.0,0.0,0.75,0.6875
8778395,8518641,1,1.0,0.0,0.75,0.6875
9098875,8885305,1,1.0,0.6000000000000001,0.0,0.65
9098847,8885305,1,1.0,0.6000000000000001,0.0,0.65
9100591,8885305,1,1.0,0.6000000000000001,0.0,0.65
8885264,9098875,1,1.0,0.6000000000000001,0.0,0.65
8885264,9098847,1,1.0,0.6000000000000001,0.0,0.65
8885264,9100591,1,1.0,0.6000000000000001,0.0,0.65
9144312,9160205,1,1.0,0.44999999999999973,0.6999999999999957,0.7874999999999989
9144309,9160205,1,1.0,0.44999999999999973,0.6999999999999957,0.7874999999999989
9160197,9144312,1,1.0,0.44999999999999973,0.6999999999999957,0.7874999999999989
9160197,9144309,1,1.0,0.44999999999999973,0.6999999999999957,0.7874999999999989
9269338,9283539,1,1.0,0.75,0.8999999999999986,0.9124999999999996
9283536,9269338,1,1.0,0.75,0.8999999999999986,0.9124999999999996
9269366,9283539,1,1.0,0.75,0.8999999999999986,0.9124999999999996
9269366,9283536,1,1.0,0.75,0.8999999999999986,0.9124999999999996
9409702,9398608,1,1.0,0.0,0.75,0.6875
9409706,9398608,1,1.0,0.0,0.75,0.6875
9398541,9409702,1,1.0,0.0,0.75,0.6875
9398541,9409706,1,1.0,0.0,0.75,0.6875
9535438,9519007,1,1.0,0.8500000000000001,0.7999999999999972,0.9124999999999993
9519046,9535438,1,1.0,0.8500000000000001,0.7999999999999972,0.9124999999999993
9535396,9519007,1,1.0,0.8500000000000001,0.7999999999999972,0.9124999999999993
9535396,9519046,1,1.0,0.8500000000000001,0.7999999999999972,0.9124999999999993
10125871,10141442,1,1.0,0.6500000000000004,0.8999999999999986,0.8874999999999997
10141316,10125871,1,1.0,0.6500000000000004,0.8999999999999986,0.8874999999999997
10125928,10141442,1,1.0,0.6500000000000004,0.8999999999999986,0.8874999999999997
10125928,10141316,1,1.0,0.6500000000000004,0.8999999999999986,0.8874999999999997
10261851,10246378,1,1.0,0.5,0.9499999999999957,0.8624999999999989
10246315,10261851,1,1.0,0.5,0.9499999999999957,0.8624999999999989
10261737,10246378,1,1.0,0.5,0.9499999999999957,0.8624999999999989
10261737,10246315,1,1.0,0.5,0.9499999999999957,0.8624999999999989
9341526,9366923,1,1.0,0.5500000000000007,0.25,0.7000000000000002
9366995,9341526,1,1.0,0.5500000000000007,0.25,0.7000000000000002
9341537,9366923,1,1.0,0.5500000000000007,0.25,0.7000000000000002
9341537,9366995,1,1.0,0.5500000000000007,0.25,0.7000000000000002
9874378,9814946,1,1.0,0.6000000000000014,0.0,0.6500000000000004
9814891,9874378,1,1.0,0.6000000000000014,0.0,0.6500000000000004
9874339,9814946,1,1.0,0.6000000000000014,0.0,0.6500000000000004
9874339,9814891,1,1.0,0.6000000000000014,0.0,0.6500000000000004
9994975,9934678,1,1.0,0.6999999999999993,0.0,0.6749999999999998
9934677,9994975,1,1.0,0.6999999999999993,0.0,0.6749999999999998
9994953,9934678,1,1.0,0.6999999999999993,0.0,0.6749999999999998
9994953,9934677,1,1.0,0.6999999999999993,0.0,0.6749999999999998
10070588,10125907,1,1.0,0.9000000000000021,0.0,0.7250000000000005
10070557,10125907,1,1.0,0.9000000000000021,0.0,0.7250000000000005
10125931,10070588,1,1.0,0.9000000000000021,0.0,0.7250000000000005
10125931,10070557,1,1.0,0.9000000000000021,0.0,0.7250000000000005
10191886,10246415,1,1.0,0.9000000000000021,0.0,0.7250000000000005
10191810,10246415,1,1.0,0.9000000000000021,0.0,0.7250000000000005
10246489,10191886,1,1.0,0.9000000000000021,0.0,0.7250000000000005
10246489,10191810,1,1.0,0.9000000000000021,0.0,0.7250000000000005
10419715,10475985,1,1.0,0.6500000000000021,0.0,0.6625000000000005
10419745,10475985,1,1.0,0.6500000000000021,0.0,0.6625000000000005
10475963,10419715,1,1.0,0.6500000000000021,0.0,0.6625000000000005
10475963,10419745,1,1.0,0.6500000000000021,0.0,0.6625000000000005
8439706,8561097,1,1.0,0.0,0.9500000000000028,0.7375000000000007
8561134,8439706,1,1.0,0.0,0.9500000000000028,0.7375000000000007
8439686,8561097,1,1.0,0.0,0.9500000000000028,0.7375000000000007
8439686,8561134,1,1.0,0.0,0.9500000000000028,0.7375000000000007
7254493,7243291,0,1.0,0.9499999999999993,0.8499999999999996,0.6999999999999997
7254493,7243258,0,1.0,0.9499999999999993,0.8499999999999996,0.6999999999999997
7254493,7243259,0,1.0,0.9499999999999993,0.8499999999999996,0.6999999999999997
7254457,7243291,0,1.0,0.9499999999999993,0.8499999999999996,0.6999999999999997
7254457,7243258,0,1.0,0.9499999999999993,0.8499999999999996,0.6999999999999997
7254457,7243259,0,1.0,0.9499999999999993,0.8499999999999996,0.6999999999999997
8865386,8859805,0,1.0,1.0,0.8499999999999996,0.7124999999999999
8865386,8859852,0,1.0,1.0,0.8499999999999996,0.7124999999999999
8865434,8859805,0,1.0,1.0,0.8499999999999996,0.7124999999999999
8865434,8859852,0,1.0,1.0,0.8499999999999996,0.7124999999999999
8260772,8254980,0,1.0,0.9500000000000028,0.75,0.6750000000000007
8260772,8254404,0,1.0,0.9500000000000028,0.75,0.6750000000000007
8261648,8254980,0,1.0,0.9500000000000028,0.75,0.6750000000000007
8261648,8254404,0,1.0,0.9500000000000028,0.75,0.6750000000000007
10057585,10056277,0,1.0,1.0,0.8999999999999999,0.725
10057585,10056239,0,1.0,1.0,0.8999999999999999,0.725
10057532,10056277,0,1.0,1.0,0.8999999999999999,0.725
10057532,10056239,0,1.0,1.0,0.8999999999999999,0.725
10095668,10087464,0,1.0,1.0,0.7999999999999999,0.7
10095668,10087513,0,1.0,1.0,0.7999999999999999,0.7
10095715,10087464,0,1.0,1.0,0.7999999999999999,0.7
10095715,10087513,0,1.0,1.0,0.7999999999999999,0.7
10157159,10148239,0,1.0,0.9499999999999993,0.8,0.6874999999999998
10157159,10148267,0,1.0,0.9499999999999993,0.8,0.6874999999999998
10157155,10148239,0,1.0,0.9499999999999993,0.8,0.6874999999999998
10157155,10148267,0,1.0,0.9499999999999993,0.8,0.6874999999999998
9886681,9881771,0,1.0,0.9500000000000002,0.9499999999999993,0.7249999999999999
9886681,9882534,0,1.0,0.9500000000000002,0.9499999999999993,0.7249999999999999
9886785,9881771,0,1.0,0.9500000000000002,0.9499999999999993,0.7249999999999999
9886785,9882534,0,1.0,0.9500000000000002,0.9499999999999993,0.7249999999999999
8329017,8308814,0,1.0,0.7999999999999989,0.8000000000000007,0.6499999999999999
8329017,8308771,0,1.0,0.7999999999999989,0.8000000000000007,0.6499999999999999
8329113,8308814,0,1.0,0.7999999999999989,0.8000000000000007,0.6499999999999999
8329113,8308771,0,1.0,0.7999999999999989,0.8000000000000007,0.6499999999999999
7212753,7207316,0,1.0,1.0,1.0,0.75
7212753,7207314,0,1.0,1.0,1.0,0.75
7212749,7207316,0,1.0,1.0,1.0,0.75
7212749,7207314,0,1.0,1.0,1.0,0.75
7218267,7212753,0,1.0,1.0,1.0,0.75
7218267,7212749,0,1.0,1.0,1.0,0.75
7223272,7218267,0,1.0,1.0,1.0,0.75
7229847,7223272,0,1.0,1.0,1.0,0.75
7234744,7229847,0,1.0,1.0,1.0,0.75
7239574,7234744,0,1.0,1.0,1.0,0.75
7244771,7239574,0,1.0,1.0,0.9500000000000002,0.7375
7250412,7244771,0,1.0,1.0,1.0,0.75
