MAROB_ID_1,MAROB_ID_2,messzeit,kennung,geogr_breite,geogr_laenge,horizontale_sicht,wetter2,Score
8826284,8764880,1,1,1.0,1.0,1.0,1.0,1.0
8764882,8826285,1,1,1.0,1.0,1.0,1.0,1.0
8773443,8773461,1,1,1.0,1.0,1.0,1.0,1.0
8827342,8827339,1,1,1.0,1.0,1.0,1.0,1.0
8826978,8826219,1,1,1.0,1.0,1.0,1.0,1.0
8763675,8825007,1,1,0.9395227492140129,0.9395227492140115,1.0,1.0,0.9798409164046706
8764931,8826248,1,1,0.8408964152537145,0.025559439329930895,1.0,1.0,0.8110759757639409
8765149,8826614,1,1,0.9930924954370361,0.9930924954370357,1.0,1.0,0.997697498479012
8826408,8826614,1,1,1.0,1.0,1.0,1.0,1.0
8826408,8765149,1,1,0.9930924954370361,0.9930924954370357,1.0,1.0,0.997697498479012
8765389,8826614,1,1,0.9930924954370361,0.9930924954370357,1.0,1.0,0.997697498479012
8765389,8765149,1,1,1.0,1.0,1.0,1.0,1.0
8765389,8826408,1,1,0.9930924954370361,0.9930924954370357,1.0,1.0,0.997697498479012
8764309,8826084,1,1,0.7120250977985338,0.8950250709279731,1.0,1.0,0.934508361454418
8826205,8826084,1,1,1.0,1.0,1.0,1.0,1.0
8826205,8764309,1,1,0.7120250977985338,0.8950250709279731,1.0,1.0,0.934508361454418
8763352,8824802,1,1,1.0,1.0,1.0,1.0,1.0
8763674,8825010,1,1,1.0,1.0,1.0,1.0,1.0
8841385,8780111,1,1,1.0,1.0,1.0,1.0,1.0
8825033,8763679,1,1,0.9930924954370357,0.8950250709279722,1.0,1.0,0.9813529277275013
8831100,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8831123,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8831123,8831100,1,1,1.0,1.0,1.0,1.0,1.0
8789376,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8789376,8831100,1,1,1.0,1.0,1.0,1.0,1.0
8789376,8831123,1,1,1.0,1.0,1.0,1.0,1.0
8789380,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8789380,8831100,1,1,1.0,1.0,1.0,1.0,1.0
8789380,8831123,1,1,1.0,1.0,1.0,1.0,1.0
8789380,8789376,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8831100,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8831123,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8789376,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8789380,1,1,1.0,1.0,1.0,1.0,1.0
8826705,8826042,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8765291,8826042,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8765291,8826705,1,1,1.0,1.0,1.0,0.0,0.8333333333333334
8764664,8826042,1,1,1.0,1.0,1.0,1.0,1.0
8764664,8826705,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8764664,8765291,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8765503,8826865,1,1,0.9395227492140101,0.9930924954370347,1.0,1.0,0.9887692074418407
