MAROB_ID_1,MAROB_ID_2,messzeit,kennung,geogr_breite,geogr_laenge,horizontale_sicht,wetter2,Score
8764880,8826284,1,1,1.0,1.0,1.0,1.0,1.0
8826285,8764882,1,1,1.0,1.0,1.0,1.0,1.0
8773461,8773443,1,1,1.0,1.0,1.0,1.0,1.0
8827342,8827339,1,1,1.0,1.0,1.0,1.0,1.0
8826219,8826978,1,1,1.0,1.0,1.0,1.0,1.0
8825007,8763675,1,1,0.9395227492140129,0.9395227492140115,1.0,1.0,0.9798409164046706
8764931,8826248,1,1,0.8408964152537145,0.025559439329930895,1.0,1.0,0.8110759757639409
8826408,8765149,1,1,0.9930924954370361,0.9930924954370357,1.0,1.0,0.997697498479012
8765389,8765149,1,1,1.0,1.0,1.0,1.0,1.0
8765389,8826408,1,1,0.9930924954370361,0.9930924954370357,1.0,1.0,0.997697498479012
8826614,8765149,1,1,0.9930924954370361,0.9930924954370357,1.0,1.0,0.997697498479012
8826614,8826408,1,1,1.0,1.0,1.0,1.0,1.0
8826614,8765389,1,1,0.9930924954370361,0.9930924954370357,1.0,1.0,0.997697498479012
8826205,8764309,1,1,0.7120250977985338,0.8950250709279731,1.0,1.0,0.934508361454418
8826084,8764309,1,1,0.7120250977985338,0.8950250709279731,1.0,1.0,0.934508361454418
8826084,8826205,1,1,1.0,1.0,1.0,1.0,1.0
8763352,8824802,1,1,1.0,1.0,1.0,1.0,1.0
8763674,8825010,1,1,1.0,1.0,1.0,1.0,1.0
8780111,8841385,1,1,1.0,1.0,1.0,1.0,1.0
8825032,8763678,1,1,1.0,1.0,1.0,1.0,1.0
8763679,8825033,1,1,0.9930924954370357,0.8950250709279722,1.0,1.0,0.9813529277275013
8789156,8789380,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8789380,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8789376,8789380,1,1,1.0,1.0,1.0,1.0,1.0
8789376,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8789376,8789317,1,1,1.0,1.0,1.0,1.0,1.0
8831100,8789380,1,1,1.0,1.0,1.0,1.0,1.0
8831100,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8831100,8789317,1,1,1.0,1.0,1.0,1.0,1.0
8831100,8789376,1,1,1.0,1.0,1.0,1.0,1.0
8831123,8789380,1,1,1.0,1.0,1.0,1.0,1.0
8831123,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8831123,8789317,1,1,1.0,1.0,1.0,1.0,1.0
8831123,8789376,1,1,1.0,1.0,1.0,1.0,1.0
8831123,8831100,1,1,1.0,1.0,1.0,1.0,1.0
8764664,8826042,1,1,1.0,1.0,1.0,1.0,1.0
8765291,8826042,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8765291,8764664,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8826705,8826042,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
