MAROB_ID_1,MAROB_ID_2,messzeit,kennung,geogr_breite,geogr_laenge,horizontale_sicht,wetter2,Score
8773443,8773461,1,1,1.0,1.0,1.0,1.0,1.0
8827339,8827342,1,1,1.0,1.0,1.0,1.0,1.0
8763352,8824802,1,1,1.0,1.0,1.0,1.0,1.0
8789376,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8789380,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8789380,8789376,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8789156,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8789376,1,1,1.0,1.0,1.0,1.0,1.0
8789317,8789380,1,1,1.0,1.0,1.0,1.0,1.0
8826865,8826904,1,1,1.0,1.0,1.0,1.0,1.0
8773460,8773442,1,1,1.0,1.0,1.0,1.0,1.0
8789358,8789366,1,1,1.0,1.0,1.0,1.0,1.0
8775437,8836740,1,1,1.0,1.0,1.0,1.0,1.0
8775447,8836739,1,1,1.0,1.0,1.0,1.0,1.0
8776336,8776196,1,1,1.0,1.0,1.0,1.0,1.0
8775312,8775347,1,1,1.0,1.0,1.0,1.0,1.0
8781305,8781276,1,1,1.0,1.0,1.0,1.0,1.0
8779297,8778955,1,1,1.0,1.0,1.0,1.0,1.0
8776253,8776604,1,1,1.0,1.0,1.0,1.0,1.0
8836653,8836629,1,1,1.0,1.0,1.0,1.0,1.0
8835796,8774424,1,1,0.9395227492140129,0.9395227492140115,1.0,1.0,0.9798409164046706
8775409,8836794,1,1,0.8408964152537145,0.025559439329930895,1.0,1.0,0.8110759757639409
8837201,8837149,1,1,1.0,1.0,1.0,1.0,1.0
8775615,8837149,1,1,0.9726549474122858,0.9726549474122848,1.0,1.0,0.9908849824707618
8775615,8837201,1,1,0.9726549474122858,0.9726549474122848,1.0,1.0,0.9908849824707618
8775669,8837149,1,1,0.9726549474122858,0.9726549474122848,1.0,1.0,0.9908849824707618
8775669,8837201,1,1,0.9726549474122858,0.9726549474122848,1.0,1.0,0.9908849824707618
8775669,8775615,1,1,1.0,1.0,1.0,1.0,1.0
8836709,8836680,1,1,1.0,1.0,1.0,1.0,1.0
8789430,8851105,1,1,1.0,1.0,1.0,1.0,1.0
8774444,8835823,1,1,0.9930924954370357,0.8950250709279722,1.0,1.0,0.9813529277275013
8789546,8789544,1,1,1.0,1.0,1.0,1.0,1.0
8775336,8836692,1,1,1.0,1.0,1.0,1.0,1.0
8775972,8836692,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8775972,8775336,1,1,0.9993763620805105,0.9997227795604652,1.0,1.0,0.9998498569401626
8776108,8776178,1,1,1.0,1.0,1.0,1.0,1.0
8775973,8836637,1,1,0.9993763620805105,0.9982686325973926,1.0,1.0,0.9996074991129839
8775337,8836637,1,1,1.0,1.0,1.0,1.0,1.0
8775337,8775973,1,1,0.9993763620805105,0.9982686325973926,1.0,1.0,0.9996074991129839
8836738,8836791,1,1,1.0,1.0,1.0,1.0,1.0
8775121,8836791,1,1,0.3685673043227779,1.4861384957513776e-06,1.0,1.0,0.7280947984102122
8775121,8836738,1,1,0.3685673043227779,1.4861384957513776e-06,1.0,1.0,0.7280947984102122
8775125,8836791,1,1,0.3685673043227779,1.4861384957513776e-06,1.0,1.0,0.7280947984102122
8775125,8836738,1,1,0.3685673043227779,1.4861384957513776e-06,1.0,1.0,0.7280947984102122
8775125,8775121,1,1,1.0,1.0,1.0,1.0,1.0
8778627,8778612,1,1,1.0,1.0,1.0,1.0,1.0
8775331,8775311,1,1,1.0,1.0,1.0,1.0,1.0
8776730,8776675,1,1,1.0,1.0,1.0,1.0,1.0
8778901,8778881,1,1,1.0,1.0,1.0,1.0,1.0
8778558,8778500,1,1,1.0,1.0,1.0,1.0,1.0
8836486,8836607,1,1,1.0,1.0,1.0,1.0,1.0
8775131,8836607,1,1,0.9930924954370357,2.7161601936282637e-06,1.0,0.0,0.6655158685995382
8775131,8836486,1,1,0.9930924954370357,2.7161601936282637e-06,1.0,0.0,0.6655158685995382
8775123,8775126,1,1,1.0,1.0,1.0,1.0,1.0
8778960,8779299,1,1,1.0,1.0,1.0,1.0,1.0
8836528,8836628,1,1,1.0,1.0,1.0,1.0,1.0
8776025,8836628,1,1,0.018453010334836494,0.009226505167417924,1.0,0.0,0.504613252583709
8776025,8836528,1,1,0.018453010334836494,0.009226505167417924,1.0,0.0,0.504613252583709
8776073,8836628,1,1,0.018453010334836494,0.009226505167417924,1.0,0.0,0.504613252583709
8776073,8836528,1,1,0.018453010334836494,0.009226505167417924,1.0,0.0,0.504613252583709
8776073,8776025,1,1,1.0,1.0,1.0,1.0,1.0
8776074,8775993,1,1,1.0,1.0,1.0,1.0,1.0
8837213,8775993,1,1,8.703336455294902e-06,0.4322686156539363,1.0,1.0,0.7387128864983985
8837213,8776074,1,1,8.703336455294902e-06,0.4322686156539363,1.0,1.0,0.7387128864983985
8775340,8775976,1,1,0.9988915792636798,0.9988915792636801,1.0,1.0,0.9996305264212267
8836687,8775976,1,1,0.6700775604097411,3.303274047954758e-07,1.0,1.0,0.7783463151228576
8836687,8775340,1,1,0.6417129487814491,4.267812113418458e-07,1.0,1.0,0.7736188959271101
8836700,8775913,1,1,0.10584316404531666,0.002939935053537342,1.0,1.0,0.6847971831831423
