Cluster ID,confidence_score,MAROB_ID,IID,MESSZEIT,KENNUNG,GEOGR_BREITE,GEOGR_LAENGE,FEUCHTTEMPERATUR,WASSERTEMPERATUR,LUFTDRUCK_REDUZIERT,HORIZONTALE_SICHT,WETTER
0,0.99998385,8773461,10256,2019-04-15 01:00,9V8896, 28.5000,-068.6000,, 23.80, 1021.60,20000,3
0,0.99998385,8773443,256,2019-04-15 01:00,9V8896, 28.5000,-068.6000,, 23.80, 1021.60,20010,3
1,0.99998385,8827342,10256,2019-04-15 01:00,A8RH6, 01.1000, 004.0000, 25.20, 29.50, 1011.10,20000,3
1,0.99998385,8827339,256,2019-04-15 01:00,A8RH6, 01.1000, 004.0000,, 29.50, 1011.10,20010,3
239,,8826978,256,2019-04-15 01:00,A8ZU9,-23.4000,-044.0000,,, 1016.50,20010,2
240,,8763675,10384,2019-04-15 01:00,DBBA, 54.4000, 012.4000,, 05.90, 1032.50,,509
2,0.99993086,8824802,10384,2019-04-15 01:00,DBEA, 54.0000, 008.2000,, 07.20, 1029.10,,509
2,0.99993086,8763352,10384,2019-04-15 01:00,DBEA, 54.0000, 008.2000,, 07.00, 1031.00,,509
241,,8780265,10384,2019-04-15 01:00,DBFC, 54.4000, 012.4000,, 05.50, 1032.30,,509
242,,8763674,10384,2019-04-15 01:00,DBFH, 53.5000, 008.6000,, 07.10, 1029.00,,509
243,,8780111,10384,2019-04-15 01:00,DBFI, 53.9000, 008.7000,, 09.40, 1030.70,,509
244,,8780067,10384,2019-04-15 01:00,DBFX, 53.5000, 008.6000,, 10.20, 1029.70,,509
245,,8763679,10384,2019-04-15 01:00,DBJM, 54.0000, 008.5000,, 07.30, 1030.90,,509
3,0.9999308586120605,8789156,384,2019-04-15 01:00,DBKR, 54.1000, 012.1000,, 09.20, 1032.20,,509
3,0.9999308586120605,8789376,384,2019-04-15 01:00,DBKR, 54.1000, 012.1000,, 08.80, 1032.30,,509
3,0.9999308586120605,8789380,10384,2019-04-15 01:00,DBKR, 54.1000, 012.1000,, 08.80, 1032.30,,509
3,0.9999308586120605,8789317,10384,2019-04-15 01:00,DBKR, 54.1000, 012.1000,, 09.20, 1032.20,,509
4,0.99993086,8826904,10384,2019-04-15 01:00,DBLK,-53.2000,-070.9000,, 08.30, 0993.60,,509
4,0.99993086,8826865,384,2019-04-15 01:00,DBLK,-53.2000,-070.9000,, 08.30, 0993.60,,509
5,0.99998385,8773442,256,2019-04-15 01:00,DCPX2, 06.9000, 136.1000,, 28.00, 1011.00,20010,3
5,0.99998385,8773460,10256,2019-04-15 01:00,DCPX2, 06.9000, 136.1000, 29.00, 28.00, 1011.00,20000,3
246,,8826727,10384,2019-04-15 01:00,EUCDE14, 08.8600,-079.4800,,, 1012.10,,
247,,8784272,10384,2019-04-15 02:00,DBFC, 54.4000, 012.4000,, 05.50, 1032.60,,509
248,,8784271,10384,2019-04-15 02:00,DBFI, 53.9000, 008.7000,, 09.30, 1030.70,,509
249,,8784260,10384,2019-04-15 02:00,DBFX, 53.5000, 008.6000,, 10.20, 1029.70,,509
6,0.99993086,8789366,384,2019-04-15 02:00,DBKR, 54.1000, 012.1000,, 08.70, 1032.10,,509
6,0.99993086,8789358,10384,2019-04-15 02:00,DBKR, 54.1000, 012.1000,, 08.70, 1032.10,,509
250,,8831853,384,2019-04-15 02:00,DBKV, 54.3000, 010.2000,, 07.90, 1029.40,,509
251,,8831858,384,2019-04-15 02:00,DBND, 54.3000, 010.2000,, 08.20, 1029.50,,509
252,,8831859,384,2019-04-15 02:00,EUCDE08, 49.9000,-003.5000,, 10.90, 1012.40,,509
253,,8831881,384,2019-04-15 02:00,EUCDE09, 48.9000,-067.9000,, 02.90, 1000.50,,509
254,,8831888,384,2019-04-15 02:00,EUCDE19, 33.1000, 137.7000,,, 1014.80,,509
255,,8831872,384,2019-04-15 02:00,EUCDE25, 32.7000,-016.7000,,, 1020.80,,509
7,0.99993086,8836740,384,2019-04-15 03:00,6201065, 54.0000, 006.6000,,, 1026.70,,509
7,0.99993086,8775437,384,2019-04-15 03:00,6201065, 54.0000, 006.6000,,, 1031.00,,509
8,0.99993086,8836739,384,2019-04-15 03:00,6201066, 55.2000, 007.2000,,, 1029.00,,509
8,0.99993086,8775447,384,2019-04-15 03:00,6201066, 55.2000, 007.2000,,, 1033.20,,509
9,0.99998385,8776196,10256,2019-04-15 03:00,A8EG9, 12.1000,-073.7000, 24.50,, 1012.20,10000,5
9,0.99998385,8776336,256,2019-04-15 03:00,A8EG9, 12.1000,-073.7000,,, 1012.20,10010,5
10,0.99998385,8775347,256,2019-04-15 03:00,A8NQ6, 26.5000,-114.8000,,, 1012.00,20010,2
10,0.99998385,8775312,10256,2019-04-15 03:00,A8NQ6, 26.5000,-114.8000, 19.00,, 1012.00,20000,2
11,0.99999994,8781276,256,2019-04-15 03:00,A8PC7, 12.7000,-082.0000,,, 1014.00,20010,510
11,0.99999994,8781305,10256,2019-04-15 03:00,A8PC7, 12.7000,-082.0000, 24.50,, 1014.00,20000,
12,0.99999994,8778955,10256,2019-04-15 03:00,A8PG8, 16.2000,-082.7000, 25.00, 28.00, 1012.00,10000,0
12,0.99999994,8779297,256,2019-04-15 03:00,A8PG8, 16.2000,-082.7000,, 28.00, 1012.00,10010,0
13,0.99998385,8776604,256,2019-04-15 03:00,A8VE3, 21.0000, 121.0000,, 28.20, 1014.00,10010,58
13,0.99998385,8776253,10256,2019-04-15 03:00,A8VE3, 21.0000, 121.0000, 23.60, 28.20, 1014.00,10000,58
14,0.99998385,8836629,10256,2019-04-15 03:00,A8ZE4, 08.0000, 108.5000,, 30.80, 1009.10,10000,3
