Cluster ID,confidence_score,MAROB_ID,IID,MESSZEIT,MESSZEIT_UNIX_TS,GEOGR_BREITE,GEOGR_LAENGE,KENNUNG,FAHRTRICHTUNG,FAHRTGESCHWINDIGKEIT,LUFTTEMPERATUR,TAUPUNKTTEMPERATUR,REL_FEUCHTE,LUFTDRUCK_REDUZIERT,HORIZONTALE_SICHT,WETTER,VERLAUF1,VERLAUF2
0,0.99808633,8396683,10256,2019-04-12 00:00,1555027200,11,110.4,A8AW2,225,7,29,29,,1012,20000,1,0,0
0,0.99808633,8396660,256,2019-04-12 00:00,1555027200,11,110.4,A8AW2,225,7,29,29,,1012,20010,1,0,0
1,0.99808633,8518552,10256,2019-04-13 00:00,1555113600,6.9,107.7,A8AW2,225,7,29,27.7,,1013,20000,1,0,0
1,0.99808633,8518639,256,2019-04-13 00:00,1555113600,6.9,107.7,A8AW2,225,7,29,27.7,,1013,20010,1,0,0
2,0.99808633,8576765,10256,2019-04-13 12:00,1555156800,5,106.3,A8AW2,225,7,29,,,1011,20000,510,2,2
2,0.99808633,8576731,256,2019-04-13 12:00,1555156800,5,106.3,A8AW2,225,7,29,,,1011,20010,510,2,2
3,0.99808633,8643650,10256,2019-04-14 00:00,1555200000,2.9,105.1,A8AW2,225,7,29,,,1012,20000,510,2,2
3,0.99808633,8643577,256,2019-04-14 00:00,1555200000,2.9,105.1,A8AW2,225,7,29,,,1012,20010,510,2,2
4,0.99808633,9149759,10256,2019-04-18 00:00,1555545600,6.1,91.7,A8AW2,270,7,29,,,1011,20000,510,1,1
4,0.99808633,9149727,256,2019-04-18 00:00,1555545600,6.1,91.7,A8AW2,270,7,29,,,1011,20010,510,1,1
5,0.99808633,9211455,10256,2019-04-18 12:00,1555588800,6,89.1,A8AW2,270,7,31,,,1011,20000,510,2,2
5,0.99808633,9211532,256,2019-04-18 12:00,1555588800,6,89.1,A8AW2,270,7,31,,,1011,20010,510,2,2
6,0.99808633,9273070,10256,2019-04-19 00:00,1555632000,5.9,86.6,A8AW2,270,7,29,,,1011,20000,510,1,1
6,0.99808633,9273066,256,2019-04-19 00:00,1555632000,5.9,86.6,A8AW2,270,7,29,,,1011,20010,510,1,1
7,0.99808633,9304325,10256,2019-04-19 06:00,1555653600,5.9,85,A8AW2,270,7,33.5,26.2,,1013,20000,3,1,1
7,0.99808633,9304420,256,2019-04-19 06:00,1555653600,5.9,85,A8AW2,270,7,33.5,26.2,,1013,20010,3,1,1
8,0.99808633,9335811,10256,2019-04-19 12:00,1555675200,5.9,83.7,A8AW2,270,7,32,,,1010,20000,510,2,2
8,0.99808633,9335862,256,2019-04-19 12:00,1555675200,5.9,83.7,A8AW2,270,7,32,,,1010,20010,510,2,2
9,0.99808633,9378114,10256,2019-04-19 18:00,1555696800,5.8,82.3,A8AW2,270,7,29,27,,1010,20000,3,1,1
9,0.99808633,9378008,256,2019-04-19 18:00,1555696800,5.8,82.3,A8AW2,270,7,29,27,,1010,20010,3,1,1
10,0.99808633,9406197,10256,2019-04-20 00:00,1555718400,5.8,81,A8AW2,270,7,28,,,1009,20000,510,1,1
10,0.99808633,9406246,256,2019-04-20 00:00,1555718400,5.8,81,A8AW2,270,7,28,,,1009,20010,510,1,1
11,0.99808633,9425343,10256,2019-04-20 06:00,1555740000,6,79.6,A8AW2,315,7,32,30.7,,1011,20000,62,6,1
11,0.99808633,9425318,256,2019-04-20 06:00,1555740000,6,79.6,A8AW2,315,7,32,30.7,,1011,20010,62,6,1
12,0.99808633,9462414,10256,2019-04-20 12:00,1555761600,6.8,78.4,A8AW2,315,7,32,,,1008,20000,510,1,1
12,0.99808633,9462279,256,2019-04-20 12:00,1555761600,6.8,78.4,A8AW2,315,7,32,,,1008,20010,510,1,1
13,0.99808633,9524728,10256,2019-04-21 00:00,1555804800,8.6,76.4,A8AW2,315,7,25,,,1010,20000,29,9,8
13,0.99808633,9524685,256,2019-04-21 00:00,1555804800,8.6,76.4,A8AW2,315,7,25,,,1010,20010,29,9,8
14,0.99808633,9550344,10256,2019-04-21 06:00,1555826400,9.8,75.8,A8AW2,315,7,30,28.7,,1011,20000,60,6,6
14,0.99808633,9550376,256,2019-04-21 06:00,1555826400,9.8,75.8,A8AW2,315,7,30,28.7,,1011,20010,60,6,6
15,0.99808633,9586917,10256,2019-04-21 12:00,1555848000,11.1,75.2,A8AW2,315,7,31,,,1008,20000,510,1,1
15,0.99808633,9586857,256,2019-04-21 12:00,1555848000,11.1,75.2,A8AW2,315,7,31,,,1008,20010,510,1,1
16,0.99808633,9612252,10256,2019-04-21 18:00,1555869600,12.3,74.7,A8AW2,315,7,28,26.7,,1010,10000,2,0,0
16,0.99808633,9612198,256,2019-04-21 18:00,1555869600,12.3,74.7,A8AW2,315,7,28,26.7,,1010,10010,2,0,0
17,0.99808633,9648591,10256,2019-04-22 00:00,1555891200,13.4,74.1,A8AW2,315,7,28,,,1009,20000,510,1,1
17,0.99808633,9648503,256,2019-04-22 00:00,1555891200,13.4,74.1,A8AW2,315,7,28,,,1009,20010,510,1,1
18,0.99808633,9679541,10256,2019-04-22 06:00,1555912800,14.6,73.6,A8AW2,315,7,33,29.1,,1011,10000,5,0,0
18,0.99808633,9679477,256,2019-04-22 06:00,1555912800,14.6,73.6,A8AW2,315,7,33,29.1,,1011,10010,5,0,0
19,0.99808633,9710407,10256,2019-04-22 12:00,1555934400,15.9,73,A8AW2,315,7,30,,,1008,20000,510,1,1
19,0.99808633,9710437,256,2019-04-22 12:00,1555934400,15.9,73,A8AW2,315,7,30,,,1008,20010,510,1,1
20,0.99808633,9740149,10256,2019-04-22 18:00,1555956000,17.3,72.7,A8AW2,360,7,28,26.7,,1010,10000,1,0,0
20,0.99808633,9740202,256,2019-04-22 18:00,1555956000,17.3,72.7,A8AW2,360,7,28,26.7,,1010,10010,1,0,0
21,0.99808633,9919462,10256,2019-04-24 06:00,1556085600,19.3,72.4,A8AW2,360,7,32,29.4,,1012,10000,1,0,0
21,0.99808633,9919414,256,2019-04-24 06:00,1556085600,19.3,72.4,A8AW2,360,7,32,29.4,,1012,10010,1,0,0
22,0.99808633,9974587,10256,2019-04-24 18:00,1556128800,20.4,70.5,A8AW2,315,7,26,24.6,,1010,10000,2,0,0
22,0.99808633,9974636,256,2019-04-24 18:00,1556128800,20.4,70.5,A8AW2,315,7,26,24.6,,1010,10010,2,0,0
23,0.99808633,10040770,10256,2019-04-25 06:00,1556172000,21.9,68.9,A8AW2,360,7,32,30.7,,1014,10000,1,0,0
23,0.99808633,10040733,256,2019-04-25 06:00,1556172000,21.9,68.9,A8AW2,360,7,32,30.7,,1014,10010,1,0,0
24,0.99808633,10280569,10256,2019-04-27 06:00,1556344800,20.3,70.9,A8AW2,90,7,31,28.4,,1010,10000,5,0,0
24,0.99808633,10280618,256,2019-04-27 06:00,1556344800,20.3,70.9,A8AW2,90,7,31,28.4,,1010,10010,5,0,0
25,0.99808633,7244104,10256,2019-04-02 06:00,1554184800,-37,124.1,A8AX8,90,9,16.5,9.9,,1019.3,20000,3,0,0
25,0.99808633,7244673,256,2019-04-02 06:00,1554184800,-37,124.1,A8AX8,90,9,16.5,9.9,,1019.3,20010,3,0,0
26,0.99808633,7366264,10256,2019-04-03 06:00,1554271200,-38.1,132.7,A8AX8,90,9,14.2,5.5,,1028.1,20000,2,1,1
26,0.99808633,7366497,256,2019-04-03 06:00,1554271200,-38.1,132.7,A8AX8,90,9,14.2,5.5,,1028.1,20010,2,1,1
27,0.9980863332748413,7899714,10256,2019-04-06 21:00,1554584400,12.5,-72.1,A8CG6,90,7,28,23.7,,1012,10000,509,,
27,0.9980863332748413,7900175,256,2019-04-06 21:00,1554584400,12.5,-72.1,A8CG6,90,7,28,23.7,,1012,10010,509,,
27,0.9980863332748413,7899656,256,2019-04-06 21:00,1554584400,12.5,-72.1,A8CG6,90,7,28,23.7,,1012,10010,509,,
28,0.99808633,8153089,10256,2019-04-09 08:00,1554796799,9.2,-56.8,A8CG6,135,9,27,22.6,,1014,20000,2,0,0
28,0.99808633,8153189,256,2019-04-09 08:00,1554796799,9.2,-56.8,A8CG6,135,9,27,22.6,,1014,20010,2,0,0
29,0.99808633,8153088,10256,2019-04-09 20:00,1554839999,7.4,-54.1,A8CG6,135,9,30,22.7,,1013,20000,2,2,2
29,0.99808633,8153188,256,2019-04-09 20:00,1554839999,7.4,-54.1,A8CG6,135,9,30,22.7,,1013,20010,2,2,2
30,0.99808633,8385492,10256,2019-04-11 19:00,1555009200,0.7,-43.7,A8CG6,135,9,30,22.7,,1012,10000,5,4,4
30,0.99808633,8385539,256,2019-04-11 19:00,1555009200,0.7,-43.7,A8CG6,135,9,30,22.7,,1012,10010,5,4,4
31,0.99808633,8606879,10256,2019-04-13 07:00,1555138800,-4.4,-35.7,A8CG6,135,7,28,23.7,,1011,20000,2,0,0
31,0.99808633,8606860,256,2019-04-13 07:00,1555138800,-4.4,-35.7,A8CG6,135,7,28,23.7,,1011,20010,2,0,0
32,0.99808633,8686936,10256,2019-04-14 07:00,1555225200,-9.9,-35.1,A8CG6,180,7,27.5,21.6,,1013,20000,2,1,1
32,0.99808633,8686944,256,2019-04-14 07:00,1555225200,-9.9,-35.1,A8CG6,180,7,27.5,21.6,,1013,20010,2,1,1
33,0.99808633,8813340,10256,2019-04-15 07:00,1555311600,-16.2,-36.9,A8CG6,180,9,28,21.3,,1014,10000,60,6,6
33,0.99808633,8813356,256,2019-04-15 07:00,1555311600,-16.2,-36.9,A8CG6,180,9,28,21.3,,1014,10010,60,6,6
34,0.99808633,8859804,10256,2019-04-15 19:00,1555354800,-19.3,-38.1,A8CG6,225,9,31,25.4,,1016,20000,3,2,2
