MAROB_ID,IID,MESSZEIT,KENNUNG,GEOGR_BREITE,GEOGR_LAENGE,FEUCHTTEMPERATUR,WASSERTEMPERATUR,LUFTDRUCK_REDUZIERT,HORIZONTALE_SICHT,WETTER,LAT_LON,cluster id,confidence
8764880,384,2019-04-15 01:00,6201065,54.0,6.6,,,1031.3,,509.0,"(54.0, 6.6)",0.0,0.9999383687973022
8826284,384,2019-04-15 01:00,6201065,54.0,6.6,,,1028.6,,509.0,"(54.0, 6.6)",0.0,0.9999383687973022
8826285,384,2019-04-15 01:00,6201066,55.2,7.2,,,1030.9,,509.0,"(55.2, 7.2)",1.0,0.9999383687973022
8764882,384,2019-04-15 01:00,6201066,55.2,7.2,,,1033.0,,509.0,"(55.2, 7.2)",1.0,0.9999383687973022
8773461,10256,2019-04-15 01:00,9v8896,28.5,-68.6,,23.8,1021.6,20000.0,3.0,"(28.5, -68.6)",2.0,0.9999856948852539
8773443,256,2019-04-15 01:00,9v8896,28.5,-68.6,,23.8,1021.6,20010.0,3.0,"(28.5, -68.6)",2.0,0.9999856948852539
8827339,256,2019-04-15 01:00,a8rh6,1.1,4.0,,29.5,1011.1,20010.0,3.0,"(1.1, 4.0)",3.0,0.9999856948852539
8827342,10256,2019-04-15 01:00,a8rh6,1.1,4.0,25.2,29.5,1011.1,20000.0,3.0,"(1.1, 4.0)",3.0,0.9999856948852539
8826219,10256,2019-04-15 01:00,a8zu9,-23.4,-44.0,,,1016.5,20000.0,2.0,"(-23.4, -44.0)",4.0,0.9999856948852539
8826978,256,2019-04-15 01:00,a8zu9,-23.4,-44.0,,,1016.5,20010.0,2.0,"(-23.4, -44.0)",4.0,0.9999856948852539
8825007,10384,2019-04-15 01:00,dbba,54.1,12.1,,9.1,1029.7,,509.0,"(54.1, 12.1)",,
8763675,10384,2019-04-15 01:00,dbba,54.4,12.4,,5.9,1032.5,,509.0,"(54.4, 12.4)",,
8826248,10384,2019-04-15 01:00,dbbe,13.3,-122.8,,26.9,1010.6,,509.0,"(13.3, -122.8)",,
8764931,10384,2019-04-15 01:00,dbbe,12.8,-120.5,,26.8,1009.7,,509.0,"(12.8, -120.5)",,
8826614,10384,2019-04-15 01:00,dbbh,16.7,-61.9,,26.4,1018.4,,509.0,"(16.7, -61.9)",6.0,0.9999383687973022
8765149,384,2019-04-15 01:00,dbbh,16.6,-62.0,,26.6,1016.3,,509.0,"(16.6, -62.0)",5.0,0.9999383687973022
8826408,384,2019-04-15 01:00,dbbh,16.7,-61.9,,26.4,1018.4,,509.0,"(16.7, -61.9)",6.0,0.9999383687973022
8765389,10384,2019-04-15 01:00,dbbh,16.6,-62.0,,26.6,1016.3,,509.0,"(16.6, -62.0)",5.0,0.9999383687973022
8826084,10384,2019-04-15 01:00,dbbt,-29.4,-37.0,,24.7,1021.1,,509.0,"(-29.4, -37.0)",7.0,0.9999383687973022
8764309,10384,2019-04-15 01:00,dbbt,-30.1,-36.6,,24.5,1021.5,,509.0,"(-30.1, -36.6)",,
8826205,384,2019-04-15 01:00,dbbt,-29.4,-37.0,,24.7,1021.1,,509.0,"(-29.4, -37.0)",7.0,0.9999383687973022
8824802,10384,2019-04-15 01:00,dbea,54.0,8.2,,7.2,1029.1,,509.0,"(54.0, 8.2)",8.0,0.9999383687973022
8763352,10384,2019-04-15 01:00,dbea,54.0,8.2,,7.0,1031.0,,509.0,"(54.0, 8.2)",8.0,0.9999383687973022
8780265,10384,2019-04-15 01:00,dbfc,54.4,12.4,,5.5,1032.3,,509.0,"(54.4, 12.4)",,
8825010,10384,2019-04-15 01:00,dbfh,53.5,8.6,,13.0,1026.8,,509.0,"(53.5, 8.6)",9.0,0.9999383687973022
8763674,10384,2019-04-15 01:00,dbfh,53.5,8.6,,7.1,1029.0,,509.0,"(53.5, 8.6)",9.0,0.9999383687973022
8780111,10384,2019-04-15 01:00,dbfi,53.9,8.7,,9.4,1030.7,,509.0,"(53.9, 8.7)",10.0,0.9999383687973022
8841385,10384,2019-04-15 01:00,dbfi,53.9,8.7,,9.3,1028.5,,509.0,"(53.9, 8.7)",10.0,0.9999383687973022
8780067,10384,2019-04-15 01:00,dbfx,53.5,8.6,,10.2,1029.7,,509.0,"(53.5, 8.6)",,
8763679,10384,2019-04-15 01:00,dbjm,54.0,8.5,,7.3,1030.9,,509.0,"(54.0, 8.5)",,
8825033,10384,2019-04-15 01:00,dbjm,53.9,8.9,,8.7,1028.7,,509.0,"(53.9, 8.9)",,
8789156,384,2019-04-15 01:00,dbkr,54.1,12.1,,9.2,1032.2,,509.0,"(54.1, 12.1)",11.0,0.9999383687973022
8831100,384,2019-04-15 01:00,dbkr,54.1,12.1,,8.7,1029.1,,509.0,"(54.1, 12.1)",11.0,0.9999383687973022
8831123,10384,2019-04-15 01:00,dbkr,54.1,12.1,,8.7,1029.1,,509.0,"(54.1, 12.1)",11.0,0.9999383687973022
8789376,384,2019-04-15 01:00,dbkr,54.1,12.1,,8.8,1032.3,,509.0,"(54.1, 12.1)",11.0,0.9999383687973022
8789380,10384,2019-04-15 01:00,dbkr,54.1,12.1,,8.8,1032.3,,509.0,"(54.1, 12.1)",11.0,0.9999383687973022
8789317,10384,2019-04-15 01:00,dbkr,54.1,12.1,,9.2,1032.2,,509.0,"(54.1, 12.1)",11.0,0.9999383687973022
8826042,384,2019-04-15 01:00,dbkv,54.3,10.2,,7.9,1030.2,,509.0,"(54.3, 10.2)",12.0,0.9999496834407171
8826705,10384,2019-04-15 01:00,dbkv,54.33,10.18,,7.9,1030.2,,,"(54.33, 10.18)",12.0,0.9999644242814894
8765291,10384,2019-04-15 01:00,dbkv,54.33,10.18,,7.63,1032.4,,,"(54.33, 10.18)",12.0,0.9999644242814894
8764664,384,2019-04-15 01:00,dbkv,54.3,10.2,,7.6,1032.4,,509.0,"(54.3, 10.2)",12.0,0.9999496834407171
8826865,384,2019-04-15 01:00,dblk,-53.2,-70.9,,8.3,993.6,,509.0,"(-53.2, -70.9)",14.0,0.9999383687973022
8765503,384,2019-04-15 01:00,dblk,-52.9,-70.8,,7.9,996.2,,509.0,"(-52.9, -70.8)",13.0,0.9999383687973022
8765522,10384,2019-04-15 01:00,dblk,-52.9,-70.8,,7.9,996.2,,509.0,"(-52.9, -70.8)",13.0,0.9999383687973022
8826904,10384,2019-04-15 01:00,dblk,-53.2,-70.9,,8.3,993.6,,509.0,"(-53.2, -70.9)",14.0,0.9999383687973022
8764676,384,2019-04-15 01:00,dbnd,54.3,10.2,,8.0,1032.6,,509.0,"(54.3, 10.2)",15.0,0.9999147860762294
8765295,10384,2019-04-15 01:00,dbnd,54.33,10.15,,8.04,1032.6,,,"(54.33, 10.15)",15.0,0.9999225707522065
8826040,384,2019-04-15 01:00,dbnd,54.3,10.2,,8.0,1030.3,,509.0,"(54.3, 10.2)",15.0,0.9999147860762294
8826700,10384,2019-04-15 01:00,dbnd,54.33,10.15,,8.02,1030.3,,,"(54.33, 10.15)",15.0,0.9999225707522065
8773442,256,2019-04-15 01:00,dcpx2,6.9,136.1,,28.0,1011.0,20010.0,3.0,"(6.9, 136.1)",16.0,0.9999856948852539
8773460,10256,2019-04-15 01:00,dcpx2,6.9,136.1,29.0,28.0,1011.0,20000.0,3.0,"(6.9, 136.1)",16.0,0.9999856948852539
8771897,256,2019-04-15 01:00,dfpg2,5.8,82.2,,33.0,1010.5,50010.0,3.0,"(5.8, 82.2)",17.0,0.9999856948852539
8770785,10256,2019-04-15 01:00,dfpg2,5.8,82.2,26.0,33.0,1010.5,50000.0,3.0,"(5.8, 82.2)",17.0,0.9999856948852539
8826670,10384,2019-04-15 01:00,eucde08,49.98,-3.08,,10.97,1013.4,,,"(49.98, -3.08)",19.0,0.9999800324440002
8826060,384,2019-04-15 01:00,eucde08,50.0,-3.1,,11.0,1013.4,,509.0,"(50.0, -3.1)",19.0,0.9999800324440002
8765299,10384,2019-04-15 01:00,eucde08,51.02,1.33,,10.15,1025.8,,,"(51.02, 1.33)",18.0,0.999971330165863
8764705,384,2019-04-15 01:00,eucde08,51.0,1.3,,10.1,1025.8,,509.0,"(51.0, 1.3)",18.0,0.999971330165863
8764695,384,2019-04-15 01:00,eucde09,46.8,-71.1,,3.0,1011.4,,509.0,"(46.8, -71.1)",20.0,0.9999020099639893
