MAROB_ID,IID,MESSZEIT,KENNUNG,GEOGR_BREITE,GEOGR_LAENGE,FEUCHTTEMPERATUR,WASSERTEMPERATUR,LUFTDRUCK_REDUZIERT,HORIZONTALE_SICHT,WETTER,LAT_LON,cluster id,confidence
8773461,10256,2019-04-15 01:00,9v8896,28.5,-68.6,,23.8,1021.6,20000.0,3.0,"(28.5, -68.6)",0.0,0.9999856948852539
8773443,256,2019-04-15 01:00,9v8896,28.5,-68.6,,23.8,1021.6,20010.0,3.0,"(28.5, -68.6)",0.0,0.9999856948852539
8827342,10256,2019-04-15 01:00,a8rh6,1.1,4.0,25.2,29.5,1011.1,20000.0,3.0,"(1.1, 4.0)",1.0,0.9999856948852539
8827339,256,2019-04-15 01:00,a8rh6,1.1,4.0,,29.5,1011.1,20010.0,3.0,"(1.1, 4.0)",1.0,0.9999856948852539
8826978,256,2019-04-15 01:00,a8zu9,-23.4,-44.0,,,1016.5,20010.0,2.0,"(-23.4, -44.0)",,
8763675,10384,2019-04-15 01:00,dbba,54.4,12.4,,5.9,1032.5,,509.0,"(54.4, 12.4)",,
8824802,10384,2019-04-15 01:00,dbea,54.0,8.2,,7.2,1029.1,,509.0,"(54.0, 8.2)",2.0,0.9999383687973022
8763352,10384,2019-04-15 01:00,dbea,54.0,8.2,,7.0,1031.0,,509.0,"(54.0, 8.2)",2.0,0.9999383687973022
8780265,10384,2019-04-15 01:00,dbfc,54.4,12.4,,5.5,1032.3,,509.0,"(54.4, 12.4)",,
8763674,10384,2019-04-15 01:00,dbfh,53.5,8.6,,7.1,1029.0,,509.0,"(53.5, 8.6)",,
8780111,10384,2019-04-15 01:00,dbfi,53.9,8.7,,9.4,1030.7,,509.0,"(53.9, 8.7)",,
8780067,10384,2019-04-15 01:00,dbfx,53.5,8.6,,10.2,1029.7,,509.0,"(53.5, 8.6)",,
8763679,10384,2019-04-15 01:00,dbjm,54.0,8.5,,7.3,1030.9,,509.0,"(54.0, 8.5)",,
8789156,384,2019-04-15 01:00,dbkr,54.1,12.1,,9.2,1032.2,,509.0,"(54.1, 12.1)",3.0,0.9999383687973022
8789376,384,2019-04-15 01:00,dbkr,54.1,12.1,,8.8,1032.3,,509.0,"(54.1, 12.1)",3.0,0.9999383687973022
8789380,10384,2019-04-15 01:00,dbkr,54.1,12.1,,8.8,1032.3,,509.0,"(54.1, 12.1)",3.0,0.9999383687973022
8789317,10384,2019-04-15 01:00,dbkr,54.1,12.1,,9.2,1032.2,,509.0,"(54.1, 12.1)",3.0,0.9999383687973022
8826904,10384,2019-04-15 01:00,dblk,-53.2,-70.9,,8.3,993.6,,509.0,"(-53.2, -70.9)",4.0,0.9999383687973022
8826865,384,2019-04-15 01:00,dblk,-53.2,-70.9,,8.3,993.6,,509.0,"(-53.2, -70.9)",4.0,0.9999383687973022
8773442,256,2019-04-15 01:00,dcpx2,6.9,136.1,,28.0,1011.0,20010.0,3.0,"(6.9, 136.1)",5.0,0.9999856948852539
8773460,10256,2019-04-15 01:00,dcpx2,6.9,136.1,29.0,28.0,1011.0,20000.0,3.0,"(6.9, 136.1)",5.0,0.9999856948852539
8826727,10384,2019-04-15 01:00,eucde14,8.86,-79.48,,,1012.1,,,"(8.86, -79.48)",,
8784272,10384,2019-04-15 02:00,dbfc,54.4,12.4,,5.5,1032.6,,509.0,"(54.4, 12.4)",,
8784271,10384,2019-04-15 02:00,dbfi,53.9,8.7,,9.3,1030.7,,509.0,"(53.9, 8.7)",,
8784260,10384,2019-04-15 02:00,dbfx,53.5,8.6,,10.2,1029.7,,509.0,"(53.5, 8.6)",,
8789366,384,2019-04-15 02:00,dbkr,54.1,12.1,,8.7,1032.1,,509.0,"(54.1, 12.1)",6.0,0.9999383687973022
8789358,10384,2019-04-15 02:00,dbkr,54.1,12.1,,8.7,1032.1,,509.0,"(54.1, 12.1)",6.0,0.9999383687973022
8831853,384,2019-04-15 02:00,dbkv,54.3,10.2,,7.9,1029.4,,509.0,"(54.3, 10.2)",,
8831858,384,2019-04-15 02:00,dbnd,54.3,10.2,,8.2,1029.5,,509.0,"(54.3, 10.2)",,
8831859,384,2019-04-15 02:00,eucde08,49.9,-3.5,,10.9,1012.4,,509.0,"(49.9, -3.5)",,
8831881,384,2019-04-15 02:00,eucde09,48.9,-67.9,,2.9,1000.5,,509.0,"(48.9, -67.9)",,
8831888,384,2019-04-15 02:00,eucde19,33.1,137.7,,,1014.8,,509.0,"(33.1, 137.7)",,
8831872,384,2019-04-15 02:00,eucde25,32.7,-16.7,,,1020.8,,509.0,"(32.7, -16.7)",,
8836740,384,2019-04-15 03:00,6201065,54.0,6.6,,,1026.7,,509.0,"(54.0, 6.6)",7.0,0.9999383687973022
8775437,384,2019-04-15 03:00,6201065,54.0,6.6,,,1031.0,,509.0,"(54.0, 6.6)",7.0,0.9999383687973022
8836739,384,2019-04-15 03:00,6201066,55.2,7.2,,,1029.0,,509.0,"(55.2, 7.2)",8.0,0.9999383687973022
8775447,384,2019-04-15 03:00,6201066,55.2,7.2,,,1033.2,,509.0,"(55.2, 7.2)",8.0,0.9999383687973022
8776196,10256,2019-04-15 03:00,a8eg9,12.1,-73.7,24.5,,1012.2,10000.0,5.0,"(12.1, -73.7)",9.0,0.9999856948852539
8776336,256,2019-04-15 03:00,a8eg9,12.1,-73.7,,,1012.2,10010.0,5.0,"(12.1, -73.7)",9.0,0.9999856948852539
8775347,256,2019-04-15 03:00,a8nq6,26.5,-114.8,,,1012.0,20010.0,2.0,"(26.5, -114.8)",10.0,0.9999856948852539
8775312,10256,2019-04-15 03:00,a8nq6,26.5,-114.8,19.0,,1012.0,20000.0,2.0,"(26.5, -114.8)",10.0,0.9999856948852539
8781276,256,2019-04-15 03:00,a8pc7,12.7,-82.0,,,1014.0,20010.0,510.0,"(12.7, -82.0)",11.0,0.9999999403953552
